91	100
104	110
104	138
70	104
135	109
54	148
127	148
91	53
74	131
115	53
105	127
145	112
133	136
147	89
148	145
65	118
133	131
100	62
140	61
109	133
69	72
120	95
137	69
129	123
92	148
94	84
127	120
125	128
150	70
60	58
113	121
63	73
98	73
140	139
107	114
91	129
63	92
53	92
120	140
69	109
101	109
56	127
138	84
137	132
138	98
92	137
80	137
64	146
109	146
142	58
139	96
115	79
117	148
116	77
54	54
149	120
101	141
125	133
96	79
68	114
103	114
61	117
73	138
130	138
140	146
141	77
61	92
94	85
68	125
61	111
121	111
126	146
58	147
108	147
113	60
121	87
114	113
98	96
65	65
135	52
105	135
116	114
106	103
93	101
117	141
89	92
53	108
88	108
95	79
141	142
134	146
113	88
59	149
85	149
78	53
51	140
134	140
93	130
147	113
74	117
97	117
145	68
88	91
90	79
76	52
69	98
87	63
84	84
61	108
85	69
74	130
63	130
91	83
134	84
147	86
77	105
102	142
122	127
77	136
57	136
89	112
144	112
69	123
137	85
79	89
95	79
141	99
123	114
109	121
82	135
90	135
141	85
91	87
83	99
53	99
82	133
122	67
136	124
52	120
120	120
107	137
102	137
131	89
91	76
145	143
118	68
62	95
105	56
150	103
77	132
128	132
85	126
58	146
105	146
101	77
143	146
148	111
101	140
72	85
129	85
101	70
70	82
133	86
76	149
113	122
116	114
51	117
129	117
95	142
117	67
116	133
140	103
77	138
126	68
96	143
147	143
105	146
84	75
127	83
105	148
61	90
97	134
145	134
120	102
122	145
95	77
82	55
99	116
133	84
65	143
82	57
125	62
78	117
118	93
91	50
147	102
57	133
74	133
62	92
51	53
99	120
141	120
134	111
111	80
57	62
64	75
117	75
102	140
134	114
144	54
137	114
108	144
148	96
78	123
69	123
50	123
85	123
143	117
141	132
144	99
52	97
52	97
136	107
137	143
107	139
61	81
86	81
94	108
97	149
57	101
97	101
103	93
117	101
135	107
68	88
54	120
76	120
77	59
114	116
125	135
95	144
58	144
62	66
137	105
131	103
148	139
55	126
92	126
67	126
143	126
91	146
115	77
128	141
85	96
121	114
109	136
109	105
85	141
57	141
125	145
69	77
132	51
85	144
51	144
146	100
114	137
118	73
106	93
74	127
146	97
103	136
132	136
99	86
96	133
116	101
137	130
68	108
145	108
86	119
82	63
128	104
61	110
112	68
118	108
50	104
76	149
146	149
91	148
93	145
89	145
84	112
104	97
89	86
94	134
112	77
57	86
140	140
101	136
120	136
137	129
77	141
87	64
148	112
142	140
146	110
140	109
61	144
113	138
98	138
97	122
110	63
73	81
72	126
120	103
56	101
112	101
60	92
100	92
116	98
122	88
94	145
102	97
105	90
149	106
106	90
147	109
110	90
116	115
73	136
78	118
119	118
132	100
128	67
113	94
80	127
139	94
67	150
137	150
66	108
131	108
64	58
116	120
84	133
91	133
93	74
111	89
138	72
58	100
143	144
110	76
127	131
83	123
110	123
60	126
86	127
63	127
148	106
81	149
129	119
130	63
57	120
128	114
84	110
131	142
136	140
71	87
129	103
126	131
75	50
78	89
104	136
116	93
108	75
52	126
131	126
96	101
51	137
137	137
141	124
75	143
101	83
54	140
66	140
146	53
88	97
78	129
128	129
109	68
59	139
150	111
89	86
52	114
55	114
120	84
